<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170822;000000;171.2000000;171.7000000;169.7000000;171.0000000;37730870
20170823;000000;171.0100000;175.3000000;170.9800000;175.3000000;55440260
20170824;000000;175.5000000;179.9400000;175.3000000;179.8000000;78552700
20170825;000000;180.8800000;182.2500000;179.6000000;180.5100000;68616730
20170828;000000;180.7500000;181.8500000;179.2000000;181.8500000;27909330
20170829;000000;181.9000000;182.0000000;179.5100000;181.8900000;45733310
20170830;000000;182.5000000;184.4800000;180.8500000;183.5000000;48340610
20170831;000000;182.9500000;186.3300000;181.7100000;183.5100000;64189980
20170901;000000;183.8500000;185.3300000;182.0200000;183.6600000;34333540
20170904;000000;181.8200000;185.2700000;180.9300000;184.1000000;25567970
20170905;000000;184.3900000;185.5900000;183.3300000;184.1400000;34325970
20170906;000000;183.2500000;183.7300000;181.4700000;183.1200000;33457830
20170907;000000;183.4700000;185.2500000;183.3200000;184.0000000;45624850
20170908;000000;184.1000000;187.4300000;183.7700000;185.8900000;60670380
20170911;000000;186.7000000;191.3000000;186.5100000;190.5000000;61525610
20170912;000000;191.0300000;192.3100000;188.1400000;189.3200000;50460340
20170913;000000;189.3000000;190.9500000;188.4000000;189.1000000;47748710
20170914;000000;189.0000000;189.3900000;186.0000000;188.6400000;38009640
20170915;000000;188.6800000;189.3000000;186.7200000;188.7500000;44759670
20170918;000000;189.5800000;190.3700000;187.3100000;188.0400000;29476890
20170919;000000;187.6500000;187.7200000;184.5500000;184.8500000;41361960
20170920;000000;184.5300000;186.4700000;182.6500000;186.4700000;49971400
20170921;000000;186.3500000;188.3700000;183.8000000;187.3800000;41568220
20170922;000000;187.3600000;188.7700000;186.7700000;187.5500000;37263860
20170925;000000;187.3300000;191.3800000;186.3700000;191.2000000;64121250
20170926;000000;191.5800000;195.0000000;191.5400000;192.5400000;82022480
20170927;000000;192.9400000;194.2900000;191.2000000;193.7000000;54969700
20170928;000000;193.6300000;194.3000000;191.5300000;191.9600000;39061930
20170929;000000;191.9600000;192.9400000;190.8000000;192.3300000;26264260
20171002;000000;192.7100000;194.1000000;191.1000000;193.0000000;35930460
20171003;000000;193.2500000;193.8700000;192.1300000;192.5000000;28621470
20171004;000000;192.4900000;192.5900000;191.2200000;192.0300000;26521660
20171005;000000;192.1800000;193.9300000;189.0600000;193.7400000;49460980
20171006;000000;194.3000000;196.4200000;193.6700000;194.1600000;52295530
20171009;000000;194.2200000;194.9000000;192.5800000;194.0000000;27725450
20171010;000000;194.3000000;194.4500000;192.9500000;193.2100000;17816780
20171011;000000;193.9400000;196.7500000;193.5600000;195.8300000;57937770
20171012;000000;195.8300000;196.7500000;194.9500000;195.5100000;34916020
20171013;000000;195.6300000;197.2900000;195.2000000;196.4800000;30319970
20171016;000000;197.5300000;198.5200000;196.7000000;197.7000000;26893430
20171017;000000;197.3900000;198.0000000;196.0700000;197.2000000;26202670
20171018;000000;197.5000000;197.8900000;194.0100000;195.3100000;43528990
20171019;000000;195.2600000;195.6900000;191.8100000;192.2000000;40301270
20171020;000000;193.5400000;194.1400000;192.2300000;192.9700000;28740370
20171023;000000;193.4300000;193.6400000;190.8200000;192.3400000;26923870
20171024;000000;191.6900000;192.9200000;190.1300000;192.5000000;28240990
20171025;000000;193.0100000;194.3700000;192.0400000;192.0400000;32243310
20171026;000000;192.6500000;193.5000000;190.7200000;192.7500000;25609480
20171027;000000;193.5300000;196.1800000;192.8700000;196.0500000;46711220
20171030;000000;196.3200000;197.7000000;195.0000000;195.0000000;31909280
20171031;000000;194.9600000;196.3600000;193.8000000;193.8000000;25598610
20171101;000000;194.5000000;197.0500000;193.3300000;194.0500000;40225200
20171102;000000;193.7700000;195.1200000;192.3800000;193.8500000;33696650
20171103;000000;194.7700000;195.7500000;193.2000000;193.8000000;30592540
20171107;000000;196.5000000;206.7000000;195.5600000;205.9600000;134984670
20171108;000000;205.9200000;211.7700000;204.0600000;209.0900000;88243500
20171109;000000;209.5500000;221.5000000;209.1200000;220.0500000;116612700
20171110;000000;221.0100000;229.4000000;216.6100000;217.7000000;143480020
20171113;000000;217.8000000;223.9900000;215.7800000;216.6100000;50915300
20171114;000000;216.5100000;222.2000000;215.9600000;221.4000000;45864370
20171115;000000;222.5300000;227.7500000;221.5400000;225.9500000;72148490
20171116;000000;227.7300000;228.5800000;219.0900000;227.5000000;85815540
20171117;000000;227.9000000;228.0000000;224.1000000;225.6500000;37914400
20171120;000000;225.7000000;225.9700000;223.1600000;224.6000000;18825310
20171121;000000;225.4900000;232.9900000;224.0700000;231.0000000;77525730
20171122;000000;231.8800000;233.9500000;228.3800000;230.2500000;45902740
20171123;000000;230.2800000;230.9900000;225.0600000;225.5600000;41134020
20171124;000000;225.4000000;228.0000000;222.1500000;228.0000000;44245160
20171127;000000;228.3900000;229.0400000;225.0000000;226.7600000;23975080
20171128;000000;221.0000000;230.0000000;221.0000000;230.0000000;39995960
20171129;000000;230.1300000;231.5000000;226.7000000;228.2000000;34326960
20171130;000000;228.0000000;228.9200000;222.3500000;224.3500000;46105250
20171201;000000;224.5300000;225.7600000;220.7600000;221.5000000;39944560
20171204;000000;222.0000000;226.0000000;219.5500000;224.6000000;45046220
20171205;000000;224.0000000;224.5500000;222.0000000;223.9100000;27865110
20171206;000000;222.6500000;224.9000000;221.5700000;223.7500000;23099150
20171207;000000;223.8300000;224.7900000;219.2300000;219.8100000;38205450
20171208;000000;219.9000000;223.0000000;219.6100000;220.8900000;28307760
20171211;000000;221.4000000;227.6900000;221.1000000;227.6900000;34512300
20171212;000000;228.9200000;230.5000000;226.1100000;227.9000000;39576840
20171213;000000;227.2700000;228.3300000;220.5400000;221.8000000;61563290
20171214;000000;222.1600000;229.9000000;221.1000000;229.9000000;55591560
20171215;000000;228.9100000;229.7900000;225.5700000;226.5300000;42473440
20171218;000000;227.5000000;228.9000000;225.7000000;227.4000000;24514050
20171219;000000;227.9000000;228.5000000;223.5000000;224.1000000;34973820
20171220;000000;224.4500000;226.6800000;222.7000000;226.0000000;34146960
20171221;000000;226.4600000;227.3900000;222.3500000;223.6000000;34746200
20171222;000000;223.6800000;224.6400000;221.1200000;221.4400000;21508710
20171225;000000;222.2200000;223.9000000;221.6500000;223.3000000;11153030
20171226;000000;223.5200000;223.9800000;221.0000000;223.5700000;12299330
20171227;000000;224.0300000;227.2000000;223.1000000;226.9800000;30086500
20171228;000000;226.9000000;227.1700000;223.0000000;224.2000000;24042990
20171229;000000;224.0500000;226.2000000;223.2700000;225.2000000;18911170
20180103;000000;226.8800000;232.7000000;226.3500000;231.9000000;34460110
20180104;000000;232.1300000;239.5000000;231.0000000;238.8000000;53575900
20180105;000000;238.8500000;239.9500000;236.7000000;238.6000000;31546930
20180109;000000;239.0400000;243.7600000;239.0100000;240.4000000;53158280
20180110;000000;240.4100000;241.2500000;237.0600000;237.7600000;39353510
