<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20171018;000000;0.0607700;0.0610500;0.0602300;0.0602300;5485230000
20171019;000000;0.0604600;0.0606800;0.0602000;0.0602100;7368820000
20171020;000000;0.0603800;0.0607000;0.0602100;0.0602500;5485780000
20171023;000000;0.0603900;0.0606900;0.0602000;0.0602500;4079470000
20171024;000000;0.0602900;0.0610400;0.0601500;0.0610400;5616030000
20171025;000000;0.0612400;0.0614000;0.0604300;0.0604300;7320100000
20171026;000000;0.0606200;0.0606800;0.0602200;0.0602200;5225410000
20171027;000000;0.0604500;0.0608400;0.0603500;0.0604900;6849030000
20171030;000000;0.0605300;0.0606900;0.0602300;0.0602300;5000400000
20171031;000000;0.0604200;0.0605800;0.0600000;0.0600000;6545240000
20171101;000000;0.0601200;0.0607500;0.0599100;0.0599500;7529880000
20171102;000000;0.0599900;0.0600300;0.0593500;0.0597600;6259270000
20171103;000000;0.0597300;0.0603700;0.0595000;0.0595000;7688510000
20171107;000000;0.0599300;0.0610000;0.0597000;0.0607500;16906230000
20171108;000000;0.0605100;0.0608900;0.0601000;0.0601000;7283890000
20171109;000000;0.0602800;0.0624100;0.0601200;0.0612700;31414030000
20171110;000000;0.0613000;0.0613500;0.0601000;0.0601100;10768100000
20171113;000000;0.0601100;0.0607200;0.0600100;0.0600100;7069160000
20171114;000000;0.0599100;0.0601600;0.0588000;0.0588000;23963980000
20171115;000000;0.0586900;0.0590100;0.0554900;0.0554900;29504640000
20171116;000000;0.0553800;0.0554900;0.0501000;0.0520500;113599230000
20171117;000000;0.0525000;0.0538000;0.0521100;0.0533800;40504340000
20171120;000000;0.0533400;0.0547500;0.0531100;0.0539800;24354890000
20171121;000000;0.0542000;0.0545000;0.0526600;0.0532000;22675140000
20171122;000000;0.0533200;0.0533800;0.0522000;0.0529000;12892480000
20171123;000000;0.0527000;0.0529000;0.0517400;0.0522200;8142710000
20171124;000000;0.0522000;0.0535000;0.0521900;0.0533800;18573260000
20171127;000000;0.0533200;0.0534300;0.0523600;0.0526700;7681740000
20171128;000000;0.0526600;0.0534500;0.0523900;0.0528000;10510880000
20171129;000000;0.0528100;0.0529200;0.0522000;0.0522000;6828670000
20171130;000000;0.0522300;0.0523300;0.0503900;0.0507800;19292480000
20171201;000000;0.0510000;0.0519400;0.0501100;0.0516000;25503830000
20171204;000000;0.0513100;0.0516200;0.0509100;0.0510000;10351580000
20171205;000000;0.0509100;0.0513100;0.0505900;0.0508600;7469890000
20171206;000000;0.0507900;0.0518300;0.0506400;0.0515000;8117720000
20171207;000000;0.0515100;0.0516700;0.0508800;0.0510300;9189320000
20171208;000000;0.0510600;0.0514700;0.0506600;0.0506600;6705120000
20171211;000000;0.0507700;0.0513000;0.0507100;0.0512200;14922500000
20171212;000000;0.0513500;0.0514000;0.0508400;0.0512500;9432820000
20171213;000000;0.0509100;0.0512500;0.0501000;0.0501000;24018720000
20171214;000000;0.0501400;0.0508600;0.0489500;0.0504000;34316720000
20171215;000000;0.0503000;0.0505000;0.0499000;0.0500000;13118750000
20171218;000000;0.0502000;0.0504900;0.0497000;0.0498700;10115360000
20171219;000000;0.0499100;0.0501000;0.0483700;0.0484000;20166470000
20171220;000000;0.0483000;0.0483500;0.0457100;0.0459100;56563940000
20171221;000000;0.0458300;0.0460900;0.0442100;0.0453500;47137240000
20171222;000000;0.0454100;0.0472000;0.0450900;0.0465500;31343610000
20171225;000000;0.0468800;0.0473000;0.0463000;0.0473000;8178270000
20171226;000000;0.0472100;0.0473800;0.0467100;0.0468500;8936930000
20171227;000000;0.0468100;0.0490500;0.0465000;0.0474500;42686190000
20171228;000000;0.0475200;0.0477900;0.0462200;0.0469600;18886630000
20171229;000000;0.0470000;0.0477200;0.0465700;0.0473200;11829830000
20180103;000000;0.0473300;0.0495000;0.0472200;0.0495000;17351050000
20180104;000000;0.0495100;0.0502700;0.0491100;0.0500500;18052210000
20180105;000000;0.0502800;0.0502800;0.0495100;0.0502000;9390720000
20180109;000000;0.0503300;0.0518700;0.0503200;0.0508000;32052770000
20180110;000000;0.0510000;0.0513000;0.0504000;0.0505100;23689810000
20180111;000000;0.0505100;0.0507000;0.0497100;0.0505000;22467720000
20180112;000000;0.0505200;0.0510500;0.0500800;0.0509600;16328010000
20180115;000000;0.0511900;0.0517900;0.0508100;0.0508100;12923880000
20180116;000000;0.0509900;0.0510300;0.0502600;0.0509000;15299300000
20180117;000000;0.0506100;0.0517000;0.0502800;0.0513900;23185900000
20180118;000000;0.0512800;0.0517500;0.0504500;0.0506000;22570810000
20180119;000000;0.0508900;0.0509300;0.0491000;0.0496500;19513620000
20180122;000000;0.0497000;0.0502500;0.0496100;0.0501400;11988140000
20180123;000000;0.0501400;0.0502500;0.0491100;0.0497800;14435380000
20180124;000000;0.0496200;0.0496700;0.0488800;0.0490200;14540870000
20180125;000000;0.0491000;0.0504500;0.0490100;0.0499000;29435210000
20180126;000000;0.0498000;0.0498600;0.0487100;0.0493500;16633160000
20180129;000000;0.0491900;0.0495900;0.0487400;0.0490000;11768100000
20180130;000000;0.0489000;0.0495000;0.0486400;0.0488000;10936180000
20180131;000000;0.0488800;0.0494000;0.0486500;0.0494000;9230750000
20180201;000000;0.0493400;0.0500900;0.0490500;0.0493800;23628630000
20180202;000000;0.0493900;0.0496700;0.0487500;0.0492000;17529670000
20180205;000000;0.0488300;0.0492500;0.0485300;0.0490800;13527860000
20180206;000000;0.0483900;0.0488200;0.0468000;0.0470200;47549180000
20180207;000000;0.0475700;0.0479500;0.0472200;0.0476100;14266640000
20180208;000000;0.0476100;0.0488400;0.0472300;0.0475100;31972430000
20180209;000000;0.0470700;0.0474900;0.0466000;0.0470700;28283110000
20180212;000000;0.0475000;0.0477900;0.0469500;0.0471200;17203400000
20180213;000000;0.0471900;0.0477500;0.0470500;0.0476700;12203490000
20180214;000000;0.0477000;0.0482700;0.0472100;0.0477000;17789480000
20180215;000000;0.0480000;0.0480000;0.0473200;0.0473500;20501610000
20180216;000000;0.0473700;0.0478000;0.0473600;0.0477000;10368060000
20180219;000000;0.0476700;0.0477800;0.0472300;0.0474500;6302600000
20180220;000000;0.0474600;0.0479500;0.0473600;0.0477400;7621080000
20180221;000000;0.0477000;0.0491700;0.0476100;0.0489000;35530540000
20180222;000000;0.0486700;0.0529500;0.0485900;0.0517500;71269430000
20180226;000000;0.0529700;0.0558300;0.0525500;0.0546300;103203730000
20180227;000000;0.0547300;0.0548900;0.0533500;0.0538000;43109150000
20180228;000000;0.0536500;0.0540500;0.0526100;0.0527600;55881340000
20180301;000000;0.0526500;0.0531700;0.0523000;0.0525000;25000760000
20180302;000000;0.0527500;0.0539900;0.0521000;0.0524100;24024190000
20180305;000000;0.0527000;0.0534200;0.0520200;0.0524600;19973460000
20180306;000000;0.0526500;0.0536900;0.0525300;0.0530000;21902480000
