<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170828;000000;117.7900000;118.7500000;117.5400000;118.7500000;16187340
20170829;000000;118.5000000;118.6300000;116.5000000;118.3000000;27588290
20170830;000000;118.4000000;118.9000000;116.8800000;118.2000000;31962280
20170831;000000;117.9500000;119.2100000;117.3500000;117.9700000;41020210
20170901;000000;118.0200000;118.2600000;117.0400000;117.4000000;22690580
20170904;000000;117.0300000;117.6500000;116.5600000;117.0000000;15938500
20170905;000000;117.5500000;117.8900000;115.9000000;116.0000000;26541020
20170906;000000;116.0000000;117.5800000;115.6600000;117.1400000;24387110
20170907;000000;117.6100000;119.0300000;117.3800000;117.9500000;37059350
20170908;000000;118.2000000;120.4500000;118.1600000;120.3400000;41825350
20170911;000000;120.8100000;121.9400000;119.6300000;121.0000000;40230290
20170912;000000;121.2200000;122.0000000;120.1600000;121.9900000;27228360
20170913;000000;121.9900000;124.3800000;121.9900000;123.5500000;51210280
20170914;000000;123.5700000;124.1900000;122.7900000;123.3300000;29452320
20170915;000000;122.8900000;123.0000000;121.5900000;122.5000000;41826920
20170918;000000;122.5000000;123.3500000;122.0700000;122.7200000;26878140
20170919;000000;122.7200000;122.8000000;121.0500000;121.7500000;32095850
20170920;000000;121.8800000;122.4300000;121.5200000;122.2500000;25978430
20170921;000000;122.1100000;123.2000000;121.6100000;122.3400000;35204520
20170922;000000;122.3600000;122.4600000;121.3000000;121.9500000;19164830
20170925;000000;121.9800000;123.6000000;121.9000000;123.0300000;28206840
20170926;000000;123.2700000;124.1900000;122.8400000;123.0300000;25695940
20170927;000000;123.1800000;123.6800000;122.4600000;123.3600000;22485510
20170928;000000;123.2800000;123.6200000;122.1100000;122.5000000;22610060
20170929;000000;122.5000000;122.8100000;121.7000000;122.2000000;17182380
20171002;000000;122.2900000;122.4400000;121.4000000;121.9000000;14198990
20171003;000000;121.8100000;122.1100000;120.4700000;120.7800000;26873740
20171004;000000;120.6800000;121.9500000;119.7000000;121.7600000;24254160
20171005;000000;121.7900000;123.9700000;121.5100000;123.5000000;39979330
20171006;000000;123.5400000;124.4800000;123.2700000;123.4700000;30270700
20171009;000000;123.7000000;124.9000000;123.4100000;124.8100000;22035180
20171010;000000;125.0000000;125.3300000;124.1700000;124.4400000;20064040
20171011;000000;124.5400000;126.0000000;124.3800000;126.0000000;30323720
20171012;000000;126.0400000;126.7900000;125.4500000;125.9300000;18051060
20171013;000000;126.0000000;127.3900000;125.8000000;126.8600000;23707840
20171016;000000;127.1100000;127.8000000;126.6800000;127.1700000;23771970
20171017;000000;127.0500000;127.2000000;125.0500000;125.1500000;28299320
20171018;000000;125.4400000;127.0900000;125.2600000;126.7000000;29571630
20171019;000000;126.7800000;127.3900000;125.1700000;125.5000000;22518290
20171020;000000;125.8100000;127.0500000;125.6000000;126.7000000;21042270
20171023;000000;127.0600000;127.4700000;126.3700000;126.8000000;17286880
20171024;000000;126.8900000;126.9700000;125.6100000;126.0200000;20349440
20171025;000000;126.5500000;126.7500000;124.2800000;125.0000000;24125900
20171026;000000;124.9900000;125.3900000;124.0700000;124.2000000;14719810
20171027;000000;124.5700000;125.9400000;123.6400000;125.9400000;28566500
20171030;000000;125.9600000;126.9300000;125.5300000;125.9800000;19229280
20171031;000000;126.1200000;126.6000000;125.5700000;125.9000000;11847690
20171101;000000;126.3400000;126.8900000;125.9700000;126.5000000;18167600
20171102;000000;125.8800000;126.0000000;124.8700000;125.6700000;15528250
20171103;000000;125.7100000;126.8400000;125.7100000;125.9000000;22607180
20171107;000000;127.0600000;132.5500000;127.0500000;132.2800000;82128530
20171108;000000;132.1000000;133.9400000;131.5800000;132.3000000;39337670
20171109;000000;132.3100000;132.8200000;131.1400000;131.5000000;33846240
20171110;000000;131.0500000;133.8400000;130.5100000;132.5000000;47096990
20171113;000000;132.6400000;134.1800000;131.7100000;133.3200000;29445370
20171114;000000;133.0700000;134.2800000;132.3500000;132.9300000;42176770
20171115;000000;132.0100000;132.7900000;131.2100000;131.2100000;23233500
20171116;000000;131.7900000;132.7000000;127.7400000;129.2000000;42097040
20171117;000000;129.6500000;130.8700000;129.0600000;129.6500000;18113220
20171120;000000;129.8000000;130.4900000;128.6300000;129.9600000;15642930
20171121;000000;130.4500000;133.0500000;130.3500000;132.4900000;35516950
20171122;000000;133.0100000;133.6500000;132.2000000;132.5700000;25079290
20171123;000000;132.5000000;133.1000000;131.3000000;131.6000000;29101330
20171124;000000;131.5600000;134.1900000;131.3100000;133.5700000;29025290
20171127;000000;133.6100000;135.1900000;132.8000000;133.5000000;27676810
20171128;000000;133.2900000;135.1800000;132.5500000;135.1800000;26653360
20171129;000000;134.8600000;134.8600000;132.9700000;133.5500000;27221990
20171130;000000;133.0000000;134.3100000;132.0000000;132.1500000;39953360
20171201;000000;132.4700000;133.3200000;131.7200000;133.0200000;24739380
20171204;000000;133.0100000;134.0000000;131.9300000;133.7700000;17805030
20171205;000000;133.4700000;133.9900000;132.7800000;133.6500000;12681030
20171206;000000;133.3200000;134.2900000;132.9100000;134.0000000;14625230
20171207;000000;133.6600000;133.8700000;132.8100000;133.0200000;18187870
20171208;000000;133.4200000;133.9000000;132.0000000;132.6000000;16027170
20171211;000000;132.3500000;134.6500000;132.3500000;134.6500000;22727400
20171212;000000;134.6900000;135.6000000;133.6500000;135.5000000;25137070
20171213;000000;135.1800000;136.4200000;134.6000000;135.5600000;23251380
20171214;000000;135.4200000;136.2000000;134.9000000;135.9100000;22537690
20171215;000000;135.7200000;136.1600000;135.0000000;135.5000000;25066350
20171218;000000;135.6400000;136.3500000;132.9400000;134.2500000;31018990
20171219;000000;134.1300000;134.7400000;133.5000000;133.9600000;16458270
20171220;000000;133.9600000;134.3300000;132.3500000;132.5000000;23877480
20171221;000000;133.0000000;133.4700000;130.2000000;131.7000000;39251410
20171222;000000;132.1500000;133.4800000;131.0500000;132.4200000;16550650
20171225;000000;132.7200000;133.1900000;131.8000000;131.9600000;5658690
20171226;000000;132.2300000;132.4400000;129.6200000;131.2000000;12765160
20171227;000000;131.2900000;132.2300000;130.4500000;130.9900000;15957460
20171228;000000;130.8800000;131.2000000;129.8100000;130.5300000;16271890
20171229;000000;130.4200000;130.9300000;128.8600000;130.5000000;16285270
20180103;000000;131.0300000;132.2000000;130.6300000;132.2000000;10522070
20180104;000000;132.5000000;136.2000000;132.3000000;135.8900000;32092300
20180105;000000;135.8000000;137.1200000;135.0800000;137.1200000;19965100
20180109;000000;138.0000000;141.3500000;137.6000000;140.0000000;52204990
20180110;000000;140.4900000;143.4300000;139.5800000;143.4300000;51756440
20180111;000000;143.2300000;144.8000000;142.3100000;144.5800000;38571480
20180112;000000;144.2100000;144.5400000;141.6400000;143.9900000;36760620
20180115;000000;144.3300000;145.5000000;142.6000000;142.9900000;30037050
20180116;000000;143.1600000;145.3500000;141.8900000;145.2900000;36982660
20180117;000000;144.5100000;149.2000000;143.3100000;148.7000000;64088350
20180118;000000;148.7900000;150.3500000;148.1300000;150.3500000;53857120
20180119;000000;149.9400000;151.0000000;148.4000000;149.1300000;38996740
20180122;000000;149.0900000;150.3000000;148.8500000;150.3000000;22745110
20180123;000000;150.8000000;151.6500000;147.7100000;148.8000000;35760870
20180124;000000;148.5100000;149.7000000;146.6000000;149.7000000;24826570
20180125;000000;150.0200000;151.3900000;149.2700000;149.8000000;41825580
20180126;000000;149.4000000;149.5500000;146.0100000;147.1900000;35266440
